
 Unit 1: Growing Up & Technology

| 单词 | 音标 | 释义 |
| ourselves | /ɑ:'selvz/ | pron. 我们自己 |
| weak | /wi:k/ | adj. 虚弱的；无力的 |
| heart | /hɑːt/ | n. 心脏；内心 |
| paper cutting | | 剪纸 |
| difficulty | /'dɪfɪkəlti/ | n. 困难 |
| teenager | /'ti:neɪdʒə(r)/ | n. 青少年 |
| honest | /'ɒnɪst/ | adj. 坦率的；诚实的 |
| alive | /ə'laɪv/ | adj. 继续存在的；活着的 |
| mascot | /'mæskət/ | n. 吉祥物 |
| dream | /dri:m/ | v. 梦想；做梦 |
| final | /'faɪnl/ | adj. 最终的 |
| sink | /sɪŋk/ | v. 下沉；沉没 |
| later | /'leɪtə(r)/ | adv. 随后；后来 |
| news | /nju:z/ | n. 消息 |
| funny | /'fʌni/ | adj. 滑稽的；好笑的 |
| costume | /'kɒstju:m/ | n. 服装；演出服 |
| instead | /ɪn'sted/ | adv. 代替 |
| instead of | | 代替 |
| had better | | 最好 |
| disappointment | /ˌdɪsə'pɔɪntmənt/ | n. 失望 |
| respond | /rɪ'spɒnd/ | v. 做出反应；回应 |
| ring | /rɪŋ/ | v. 回响 |
| after all | | 毕竟 |
| decide | /dɪ'saɪd/ | v. 决定 |
| become | /bɪ'kʌm/ | v. 变成 |
| through | /θru:/ | prep. 凭借 |
| preparation | /ˌprepə'reɪʃn/ | n. 准备 |
| breath | /breθ/ | n. 呼吸；呼气 |
| crowd | /kraʊd/ | n. 观众；人群 |
| chant | /tʃɑːnt/ | v. 反复呼喊；反复唱 |
| bright | /braɪt/ | adj. 快活而生气勃勃的；明亮的 |
| coach | /kəʊtʃ/ | n. 教练 |
| enter | /'entə(r)/ | v. 进来 |
| enter for | | 报名参加 |
| design | /dɪ'zaɪn/ | v. 设计 |
| competition | /ˌkɒmpə'tɪʃn/ | n. 竞争；比赛 |
| chance | /tʃɑːns/ | n. 机会 |
| past | /pɑːst/ | adj. 过去的；以往的 |
| deskmate | /'deskmeɪt/ | n. 同桌 |
| while | /waɪl/ | n. 一会儿；conj. 然而 |
| firmly | /'fɜːmli/ | adv. 坚定地；坚固地 |

Unit 3: Careers & Services
| 单词 | 音标 | 释义 |
| :--- | :--- | :--- |
| career | /kə'rɪə(r)/ | n. 职业；事业 |
| guidance | /'gaɪdns/ | n. 指导；引导 |
| practical | /'præktɪkl/ | adj. 实际的 |
| hairdresser | /'heədresə(r)/ | n. 理发师 |
| tailor | /'teɪlə(r)/ | n. 裁缝 |
| service | /'sɜːvɪs/ | n. 服务 |
| officer | /'ɒfɪsə(r)/ | n. 长官 |
| fireman | /'faɪəmən/ | n. 消防员 |
| artistic | /ɑ:'tɪstɪk/ | adj. 艺术的 |
| photographer | /fə'tɒgrəfə(r)/ | n. 摄影师 |
| artist | /'ɑːtɪst/ | n. 艺术家 |
| actor / actress | /'æktə(r)//'æktrəs/ | n. (男/女)演员 |
| engineer | /ˌendʒɪ'nɪə(r)/ | n. 工程师 |
| architect | /'ɑːkɪtekt/ | n. 建筑师 |
| designer | /dɪ'zaɪnə(r)/ | n. 设计师 |
| entertain | /ˌentə'teɪn/ | v. 使快乐；娱乐 |
| audience | /'ɔ:diəns/ | n. 观众 |
| set | /set/ | n. 摄影场 |
| role | /rəʊl/ | n. 角色 |
| scene | /si:n/ | n. 现场；场景 |
| arrive | /ə'raɪv/ | v. 到达 |
| page | /peɪdʒ/ | n. 页 |
| knowledge | /'nɒlɪdʒ/ | n. 知识；学问 |
| biology | /baɪ'ɒlədʒi/ | n. 生物学 |
| education | /ˌedʒu'keɪʃn/ | n. 教育 |
| above | /ə'bʌv/ | adv. 超过，更多 |
| readiness | /'redinəs/ | n. 乐意 |
| communication | /kə,mju:nɪ'keɪʃn/ | n. 交流；交际 |
| training | /'treɪnɪŋ/ | n. 训练；培训 |
| taste | /teɪst/ | v. 品尝 |
| maybe | /'meɪbi/ | adv. 有可能 |
| yours | /jɔ:z/ | pron. 您的；你的 |
| customer | /'kʌstəmə(r)/ | n. 顾客；客户 |
| market | /'mɑːkɪt/ | n. 市场；集市 |
| everything | /'evriθɪŋ/ | pron. 每样事物 |
| fresh | /freʃ/ | adj. 新鲜的 |
| restaurant | /'restrɒnt/ | n. 餐厅 |
| pride | /praɪd/ | n. 骄傲；自豪 |
| dabbawala | /'dɑːbəwɑːlə/ | n. (印度)送饭盒人 |
| kilometre | /'kɪləmiːtə(r)/ | n. 公里；千米 |
| exactly | /ɪg'zæktli/ | adv. 确切地 |
| ever | /'evə(r)/ | adv. 在任何时候 |
| centre | /'sentə(r)/ | n. 中心；中央 |
| greet | /gri:t/ | v. 打招呼；欢迎 |
| distance | /'dɪstəns/ | n. 距离 |
| method | /'meθəd/ | n. 方法；措施 |
| simple | /'sɪmpl/ | adj. 简单的 |
| railway | /'reɪlweɪ/ | n. 铁路；铁道 |
| each other | | 相互；彼此 |
| address | /ə'dres/ | n. 地址 |
| deliver | /dɪ'lɪvə(r)/ | v. 递送 |
| serve | /sɜːv/ | v. 服务 |
| trust | /trʌst/ | n. 信任 |
| respect | /rɪ'spekt/ | n. 尊重；尊敬 |
| lively | /'laɪvli/ | adj. 有活力的；活泼的 |
| dictionary | /'dɪkʃənri/ | n. 词典；字典 |

Unit 4: Smart Homes & Daily Life
| 单词 | 音标 | 释义 |
| :--- | :--- | :--- |
| camera | /'kæmərə/ | n. 照相机；摄影机 |
| speaker | /'spi:kə(r)/ | n. 扬声器；喇叭 |
| thermostat | /'θɜːməstæt/ | n. 温控器 |
| itself | /ɪt'self/ | pron. 它自己 |
| alarm | /ə'lɑːm/ | n. 警报器 |
| stranger | /'streɪndʒə(r)/ | n. 陌生人 |
| lock | /lɒk/ | n. 锁 |
| explore | /ɪk'splɔ:(r)/ | v. 勘探；探索 |
| rock | /rɒk/ | v. (使)轻轻摇晃 |
| shower | /'ʃaʊə(r)/ | n. 淋浴 |
| mode | /məʊd/ | n. 模式；方式 |
| text message | | n. (手机)短信息 |
| bedroom | /'bedru:m/ | n. 卧室 |
| bathroom | /'bɑːθru:m/ | n. 浴室；盥洗室 |
| suggest | /sə'dʒest/ | v. 建议 |
| protect | /prə'tekt/ | v. 保护 |
| review | /rɪ'vju:/ | n. 评论 v. 复习 |
| heating | /'hi:tɪŋ/ | n. 供暖；暖气设备 |
| guide | /gaɪd/ | v. 指导；指引 |
| personal | /'pɜːsənl/ | adj. 个人的；私人的 |
| owner | /'əʊnə(r)/ | n. 物主；主人 |
| alarm clock | | n. 闹钟 |
| keep track of | | 追踪 |
| schedule | /'ʃedju:l/ | n. 日程安排 |
| health care | | 医疗(服务) |
| order | /'ɔ:də(r)/ | v. 订购 |
| signal | /'sɪgnəl/ | v. 发信号；示意 |
| sense | /sens/ | v. 感觉到；意识到 |
| manage | /'mænɪdʒ/ | v. 管理；明智地使用 |
| remind | /rɪ'maɪnd/ | v. 提醒；使……想起 |
| produce | /prə'dju:s/ | v. 生产 |
| store | /stɔ:(r)/ | v. 保存 |
| sore | /sɔ:(r)/ | adj. 疼痛的；酸痛的 |
| throat | /θrəʊt/ | n. 嗓子 |
| understand | /ˌʌndə'stænd/ | v. 懂；理解 |
| already | /ɔ:l'redi/ | adv. 已经 |
| depend | /dɪ'pend/ | v. 依靠 |
| depend on | | 依赖 |
| oven | /'ʌvn/ | n. 烤箱；烤炉 |
| truly | /'tru:li/ | adv. 确实地；真诚地 |

Unit 5: Films & Entertainment
| 单词 | 音标 | 释义 |
| :--- | :--- | :--- |
| expect | /ɪk'spekt/ | v. 期望；期待 |
| pleasant | /'pleznt/ | adj. 令人愉快的 |
| element | /'elɪmənt/ | n. 要素 |
| plot | /plɒt/ | n. 故事情节 |
| main | /meɪn/ | adj. 主要的 |
| director | /də'rektə(r)/ | n. 导演 |
| polite | /pə'laɪt/ | adj. 有礼貌的 |
| impolite | /ˌɪmpə'laɪt/ | adj. 不礼貌的 |
| correct | /kə'rekt/ | adj. 准确无误的 |
| incorrect | /ˌɪnkə'rekt/ | adj. 不准确的 |
| screen | /skri:n/ | n. 银幕；屏幕 |
| web | /web/ | n. 网 |
| spider | /'spaɪdə(r)/ | n. 蜘蛛 |
| friendship | /'frendʃɪp/ | n. 友谊；朋友关系 |
| animation | /ˌænɪ'meɪʃn/ | n. 动画片(制作) |
| subtitle | /'sʌbtaɪtl/ | n. 字幕 |
| true | /tru:/ | adj. 真实的 |
| wrestle | /'resl/ | v. 摔跤 |
| weekday | /'wi:kdeɪ/ | n. 周工作日 |
| ocean | /'əʊʃn/ | n. 海洋 |
| classic | /'klæsɪk/ | n. 经典作品 |
| return | /rɪ'tɜːn/ | v. 回来 |
| common | /'kɒmən/ | adj. 共同的；常见的 |
| generation | /ˌdʒenə'reɪʃn/ | n. 代；一代人 |
| animated | /'ænɪmeɪtɪd/ | adj. 动画的 |
| hero | /'hɪərəʊ/ | n. 男主人公；英雄 |
| fight | /faɪt/ | v. 打斗 |
| silly | /'sɪli/ | adj. 愚蠢的；不明事理的 |
| fox | /fɒks/ | n. 狐狸 |
| imagination | /ɪˌmædʒɪ'neɪʃn/ | n. 想象；想象力 |
| meaningful | /'mi:nɪŋfl/ | adj. 有意义的 |
| form | /fɔ:m/ | n. 形式；类型 |
| ink | /ɪŋk/ | n. 墨水 |
| painting | /'peɪntɪŋ/ | n. 绘画 |
| make-up | /'meɪkʌp/ | n. 化妆品 |
| pretty | /'prɪti/ | adj. 漂亮的 |
| custom | /'kʌstəm/ | n. 习俗 |
| rich | /rɪtʃ/ | adj. 丰富的 |
| whole | /həʊl/ | adj. 完全的 |
| magic | /'mædʒɪk/ | n. 魔法 |
| special effects | | n. 特技效果 |
| recommend | /ˌrekə'mend/ | v. 推荐；建议 |
| cruise | /kru:z/ | n. 航行；乘船游览 |
| interest | /'ɪntrəst/ | n. 吸引力；趣味 |
| tower | /'taʊə(r)/ | n. 塔 |
| tourist | /'tʊərɪst/ | n. 旅行者 |

Unit 6: Places & Environment
| 单词 | 音标 | 释义 |
| :--- | :--- | :--- |
| metre | /'mi:tə(r)/ | n. 米 |
| locate | /ləʊ'keɪt/ | v. 确定……的准确地点 |
| total | /'təʊtl/ | adj. 总的 |
| length | /leŋθ/ | n. 长度 |
| height | /haɪt/ | n. 高度 |
| influence | /'ɪnfluəns/ | n. 影响 |
| poster | /'pəʊstə(r)/ | n. 海报 |
| breathe | /bri:ð/ | v. 呼吸 |
| frozen | /'frəʊzn/ | adj. 冰冻的 |
| trainer | /'treɪnə(r)/ | n. 教练 |
| adventure | /əd'ventʃə(r)/ | n. 冒险 |
| woods | /wudz/ | n. 树林 |
| promise | /'prɒmɪs/ | v. 承诺 n. 诺言 |
| blood | /blʌd/ | n. 血；血液 |
| lifeblood | /'laɪfblʌd/ | n. 生命线 |
| have ... in common | | 有相同的特征 |
| cruise | /kru:z/ | n. 航行；乘船游览 |
| interest | /'ɪntrəst/ | n. 吸引力；趣味 |
| tower | /'taʊə(r)/ | n. 塔 |
| tourist | /'tʊərɪst/ | n. 旅行者 |
| attraction | /ə'trækʃən/ | n. 向往的地方 |
| both | /bəʊθ/ | det.& pron. 两个，两个(都) |
| flow | /fləʊ/ | v. 流；流动 |
| leading | /'li:dɪŋ/ | adj. 最重要的 |
| port | /pɔ:t/ | n. 港口 |
| environment | /ɪn'vaɪrənmənt/ | n. 环境 |
| provide | /prə'vaɪd/ | v. 提供；供应 |
| riverside | /'rɪvəsaɪd/ | n. 河畔；河岸 |
| almost | /'ɔ:lməʊst/ | adv. 几乎 |
| along | /ə'lɒŋ/ | prep. 沿着；顺着 |
| bank | /bæŋk/ | n. 岸 |
| nurture | /'nɜːtʃə(r)/ | v. 养育 |
| waterfall | /'wɔ:təfɔ:l/ | n. 瀑布 |
| silver | /'sɪlvə(r)/ | adj. 银色的 |
| belt | /belt/ | n. 皮带；腰带 |
| glow | /gləʊ/ | v. 发光 |
